REPORT_NUMBER,MODE,SEX,AGE,YEAR,COUNTY_NAME,S4_CRASH_SEVERITY,DAY_NIGHT,LOC_TYPE
26734095,E-Scooter,Male,31.0,2025,Miami-Dade,Injury,Night,Intersection
26192218,E-Bike,Male,32.0,2024,Palm Beach,Injury,Day,Intersection
26462908,E-Scooter,Male,8.0,2024,Sarasota,Injury,Day,Intersection
26243492,E-Scooter,,,2024,Alachua,Injury,Day,Intersection
26420528,Bicycle,Female,3.0,2024,Escambia,Injury,Day,Segment
26420528,Bicycle,Female,21.0,2024,Escambia,Injury,Day,Segment
26430797,E-Scooter,Male,18.0,2026,Osceola,Injury,Night,Intersection
26510812,E-Scooter,Male,41.0,2024,Miami-Dade,Injury,Day,Segment
26204854,E-Bike,,,2025,Pinellas,No Injury,Day,Intersection
26862253,E-Bike,Male,41.0,2025,Pinellas,Injury,Night,Intersection
26493180,E-Bike,Male,30.0,2024,Orange,Injury,Day,Intersection
26202962,E-Bike,,,2024,Pinellas,Injury,Night,Segment
26415578,E-Bike,Male,13.0,2024,Pasco,Injury,Day,Intersection
26678249,E-Bike,Male,17.0,2024,Broward,Injury,Day,Intersection
26648187,E-Bike,,,2024,Lee,Injury,Day,Segment
26545563,E-Bike,Male,46.0,2024,Hillsborough,Injury,Night,Segment
26744004,E-Bike,Female,25.0,2025,Franklin,Injury,Day,Segment
26752240,E-Bike,Male,11.0,2024,Palm Beach,Injury,Day,Intersection
26752240,E-Bike,Female,16.0,2024,Palm Beach,Injury,Day,Intersection
26752240,E-Bike,Female,12.0,2024,Palm Beach,Injury,Day,Intersection
26354957,Bicycle,Male,18.0,2024,Manatee,Injury,Day,Intersection
26591620,E-Scooter,,,2024,Broward,Injury,Day,Segment
26587047,E-Bike,Male,31.0,2024,Lee,No Injury,Day,Segment
26316001,E-Bike,Male,15.0,2024,Flagler,Serious Injury,Day,Intersection
26859968,E-Bike,Male,44.0,2025,Pinellas,Injury,Day,Intersection
26601165,E-Scooter,Male,,2025,Hendry,Injury,Night,Intersection
26599437,E-Bike,,,2025,Palm Beach,Injury,Day,Intersection
26344304,E-Scooter,Male,21.0,2024,Orange,Injury,Night,Segment
26542381,E-Bike,Female,16.0,2024,Hillsborough,No Injury,Day,Intersection
26170533,Bicycle,Female,34.0,2024,Monroe,Injury,Day,Intersection
26781670,E-Scooter,,,2025,Broward,Injury,Day,Segment
26728254,E-Bike,Male,35.0,2025,Miami-Dade,Injury,Night,Segment
26507042,E-Bike,Male,28.0,2024,Sarasota,Injury,Day,Intersection
26860127,E-Bike,Male,31.0,2025,Pinellas,No Injury,Day,Segment
26860127,E-Bike,Female,27.0,2025,Pinellas,No Injury,Day,Segment
26819899,E-Bike,,,2024,Martin,No Injury,Day,Intersection
26781349,E-Scooter,,,2024,Broward,Injury,Night,Intersection
26614913,E-Bike,Male,34.0,2024,Hillsborough,Injury,Night,Intersection
26655677,E-Scooter,Male,39.0,2024,Miami-Dade,Injury,Day,Intersection
26356515,Bicycle,Male,17.0,2024,Manatee,Injury,Day,Segment
26419866,Bicycle,Male,61.0,2024,Pasco,Injury,Night,Intersection
26433851,E-Bike,Male,54.0,2024,Orange,Injury,Night,Intersection
26791268,E-Scooter,,,2025,Broward,Injury,Day,Segment
26591406,E-Scooter,,,2024,Broward,Injury,Day,Segment
26546525,E-Scooter,Male,10.0,2024,Hillsborough,Injury,Day,Intersection
26559345,E-Scooter,Male,17.0,2024,Pinellas,No Injury,Day,Intersection
26753692,E-Scooter,Female,37.0,2024,Palm Beach,Injury,Day,Segment
26532950,E-Scooter,Male,35.0,2024,Broward,Serious Injury,Night,Segment
26610982,E-Bike,Male,61.0,2024,Hillsborough,Injury,Day,Segment
26532885,E-Bike,Male,62.0,2024,Broward,Injury,Day,Segment
26202737,E-Bike,,,2024,Pinellas,Injury,Day,Segment
26548350,E-Bike,Male,23.0,2024,Hillsborough,Injury,Day,Segment
26654391,E-Bike,Male,17.0,2024,Pinellas,No Injury,Day,Segment
26165529,Bicycle,Male,39.0,2024,Marion,Injury,Day,Segment
26265727,E-Scooter,Female,31.0,2024,Miami-Dade,Injury,Day,Segment
26501809,E-Scooter,,,2024,Monroe,No Injury,Day,Segment
26820411,E-Bike,Male,54.0,2025,Martin,Injury,Day,Segment
26775443,E-Scooter,,,2024,Broward,Injury,Day,Segment
26310632,E-Bike,Male,47.0,2024,Pasco,Injury,Day,Segment
26430031,E-Bike,Male,38.0,2024,Orange,No Injury,Day,Segment
26550696,E-Scooter,Female,20.0,2025,Hillsborough,Injury,Day,Segment
26790177,E-Bike,,,2025,Broward,No Injury,Night,Segment
26364392,E-Bike,Male,10.0,2024,Columbia,Serious Injury,Day,Intersection
26584833,E-Bike,Male,26.0,2024,Lee,Injury,Day,Intersection
26174609,E-Bike,Male,49.0,2023,Hillsborough,Injury,Night,Segment
26137950,E-Scooter,Male,15.0,2024,Miami-Dade,No Injury,Day,Segment
26765041,E-Bike,Male,32.0,2024,Polk,No Injury,Day,Segment
26476467,E-Scooter,Male,9.0,2025,Pasco,Injury,Day,Intersection
26707159,E-Scooter,Male,31.0,2024,Miami-Dade,Injury,Day,Segment
26558735,E-Bike,Male,31.0,2024,Pinellas,Injury,Day,Segment
26545138,E-Scooter,Male,43.0,2024,Hillsborough,Injury,Day,Segment
26545138,E-Scooter,Male,4.0,2024,Hillsborough,Injury,Day,Segment
26603777,E-Scooter,,,2024,Miami-Dade,Injury,Night,Segment
26788058,E-Scooter,,,2025,Broward,Serious Injury,Night,Segment
26135538,E-Bike,Male,35.0,2024,Seminole,Injury,Day,Segment
26501000,E-Bike,,,2024,Monroe,Serious Injury,Day,Intersection
26247777,E-Scooter,,,2024,Broward,Injury,Night,Intersection
26770303,E-Scooter,Male,32.0,2025,Polk,Injury,Day,Segment
26687532,E-Bike,Male,29.0,2024,Citrus,Injury,Night,Segment
26286830,E-Scooter,Unknown,,2024,Orange,Injury,Night,Segment
26648747,E-Bike,,,2024,Lee,Injury,Day,Segment
26205327,E-Bike,,,2025,Pinellas,Injury,Day,Segment
26466754,E-Scooter,Male,23.0,2024,Orange,Serious Injury,Day,Segment
26800601,E-Scooter,Male,22.0,2024,Leon,Injury,Day,Segment
26832835,E-Bike,Male,42.0,2024,Duval,Injury,Day,Segment
26825221,E-Scooter,Male,16.0,2025,Polk,Injury,Day,Intersection
26687687,E-Bike,Male,31.0,2024,Citrus,Injury,Day,Intersection
26558633,E-Bike,Male,22.0,2024,Pinellas,Injury,Day,Intersection
26673954,E-Scooter,Male,24.0,2025,Seminole,Injury,Day,Intersection
26762366,E-Bike,,,2025,Monroe,Injury,Day,Intersection
26333122,Bicycle,Male,47.0,2024,Orange,No Injury,Day,Intersection
26792152,E-Bike,,,2025,Broward,No Injury,Day,Segment
26203828,E-Bike,,,2025,Pinellas,No Injury,Day,Segment
26538508,E-Bike,Male,66.0,2024,Hillsborough,Injury,Night,Segment
26468760,Bicycle,Male,64.0,2024,Manatee,Injury,Day,Intersection
26831910,E-Bike,Male,35.0,2024,Duval,Injury,Day,Segment
26185694,E-Scooter,Male,74.0,2024,Lee,Serious Injury,Day,Intersection
26185611,E-Bike,Male,22.0,2024,Lee,Injury,Day,Intersection
26715797,E-Scooter,Male,26.0,2024,Miami-Dade,Injury,Night,Segment
26549383,E-Bike,Female,27.0,2024,Hillsborough,Injury,Day,Segment
26855906,E-Bike,,,2025,Palm Beach,Injury,Day,Intersection
26843041,Bicycle,Male,9.0,2025,Duval,Injury,Day,Intersection
26563562,E-Bike,Male,14.0,2025,Brevard,Injury,Day,Segment
26343154,Bicycle,Male,28.0,2024,Orange,Injury,Night,Segment
26718012,E-Scooter,Female,29.0,2024,Miami-Dade,No Injury,Day,Segment
26718012,E-Scooter,Female,3.0,2024,Miami-Dade,No Injury,Day,Segment
26551670,E-Bike,Male,21.0,2025,Hillsborough,Injury,Day,Intersection
26591554,E-Scooter,,,2024,Broward,Injury,Day,Segment
26743508,E-Scooter,Male,44.0,2025,Martin,No Injury,Day,Segment
26654397,E-Bike,Male,17.0,2024,Pinellas,No Injury,Day,Segment
26548379,E-Bike,Male,25.0,2025,Hillsborough,Injury,Night,Intersection
26203387,E-Bike,,,2024,Pinellas,Injury,Day,Segment
26660381,E-Scooter,Male,28.0,2025,Miami-Dade,Injury,Day,Intersection
26857020,E-Bike,,,2025,Palm Beach,Injury,Day,Segment
26501655,E-Bike,,,2024,Monroe,Injury,Day,Intersection
26501655,E-Bike,,,2024,Monroe,Injury,Day,Intersection
26562760,E-Bike,Male,48.0,2025,Pinellas,Injury,Day,Segment
26250637,E-Bike,Male,10.0,2025,St. Johns,Injury,Day,Segment
26126762,E-Bike,Male,23.0,2023,Collier,Injury,Day,Segment
26723943,E-Scooter,Male,14.0,2025,Miami-Dade,Injury,Night,Intersection
26732324,E-Scooter,Male,52.0,2025,Miami-Dade,Injury,Night,Intersection
26735357,E-Scooter,Female,28.0,2025,Miami-Dade,Injury,Day,Segment
26154117,E-Bike,Male,18.0,2024,Broward,Injury,Night,Segment
26209109,E-Bike,Male,16.0,2024,Sarasota,No Injury,Day,Intersection
26209131,E-Bike,Male,16.0,2024,Sarasota,Injury,Day,Segment
26209131,E-Bike,Male,16.0,2024,Sarasota,Injury,Day,Segment
26244358,E-Bike,,,2024,Alachua,Injury,Day,Segment
26234624,E-Bike,,,2024,Palm Beach,Injury,Night,Segment
26724728,Bicycle,Male,63.0,2025,Miami-Dade,No Injury,Day,Segment
26786893,E-Bike,,,2025,Broward,Injury,Day,Segment
26627887,E-Bike,Male,25.0,2025,Seminole,Injury,Day,Segment
26266961,E-Scooter,Male,22.0,2024,Miami-Dade,Injury,Night,Segment
26501568,E-Bike,,,2024,Monroe,No Injury,Night,Intersection
26562521,E-Bike,Male,28.0,2025,Pinellas,No Injury,Day,Segment
26862546,E-Bike,Male,41.0,2025,Pinellas,Injury,Day,Segment
26271146,E-Scooter,Male,49.0,2024,Miami-Dade,Injury,Day,Segment
26164388,E-Scooter,Female,46.0,2023,Marion,No Injury,Night,Intersection
26491432,E-Scooter,Male,20.0,2024,Orange,Injury,Night,Intersection
26865120,E-Scooter,Male,15.0,2025,Pinellas,Injury,Day,Intersection
26266632,E-Scooter,Male,38.0,2024,Miami-Dade,Serious Injury,Day,Intersection
26561090,E-Bike,Male,41.0,2024,Pinellas,Injury,Day,Intersection
26724182,E-Scooter,Female,20.0,2025,Miami-Dade,Injury,Day,Intersection
26743306,E-Bike,Male,25.0,2025,Martin,Serious Injury,Day,Intersection
26272432,E-Scooter,Male,38.0,2024,Miami-Dade,No Injury,Day,Intersection
26272432,E-Scooter,Male,7.0,2024,Miami-Dade,No Injury,Day,Intersection
26680335,E-Scooter,Female,31.0,2025,Alachua,No Injury,Day,Intersection
26698532,E-Bike,Female,49.0,2024,Miami-Dade,Injury,Day,Intersection
26501809,E-Scooter,,,2024,Monroe,No Injury,Day,Segment
26818876,E-Scooter,Male,12.0,2024,Martin,Injury,Day,Segment
26358541,E-Bike,Female,17.0,2024,Citrus,Injury,Day,Intersection
26549709,E-Bike,Male,35.0,2025,Hillsborough,Fatality,Day,Intersection
26563475,E-Bike,Male,40.0,2024,Brevard,Injury,Day,Segment
26659876,E-Scooter,Male,23.0,2025,Miami-Dade,Serious Injury,Day,Segment
26525778,E-Scooter,Female,38.0,2025,Miami-Dade,No Injury,Night,Intersection
26483903,E-Bike,Male,22.0,2024,Okaloosa,Injury,Day,Intersection
26809988,E-Bike,Female,34.0,2024,Volusia,Injury,Day,Segment
26862919,E-Scooter,Male,18.0,2025,Pinellas,Injury,Day,Segment
26280399,E-Bike,Male,18.0,2024,Orange,Injury,Day,Intersection
26324410,E-Scooter,Female,15.0,2024,Orange,No Injury,Day,Intersection
26725304,E-Scooter,Female,21.0,2025,Miami-Dade,Injury,Day,Segment
26132281,E-Scooter,Male,67.0,2024,Collier,Serious Injury,Day,Segment
26204328,E-Bike,,,2025,Pinellas,Injury,Day,Intersection
26201800,E-Bike,Male,42.0,2024,Volusia,No Injury,Day,Intersection
26540689,E-Scooter,Male,18.0,2024,Hillsborough,Injury,Day,Segment
26322547,E-Scooter,Female,18.0,2024,Osceola,Injury,Night,Segment
26677561,E-Scooter,Male,14.0,2024,Broward,Injury,Day,Segment
26343633,E-Scooter,Female,32.0,2024,Brevard,Injury,Day,Intersection
26346760,E-Bike,Male,53.0,2024,Escambia,Injury,Day,Intersection
26507914,E-Bike,,,2024,Broward,Injury,Day,Segment
26535057,E-Scooter,Male,44.0,2024,Broward,Serious Injury,Night,Segment
26769699,E-Bike,Male,44.0,2025,Polk,No Injury,Day,Segment
26858294,E-Bike,Male,33.0,2024,Pinellas,Serious Injury,Night,Segment
26486631,E-Scooter,Female,29.0,2024,Pinellas,Injury,Day,Intersection
26132941,E-Bike,Male,34.0,2024,Collier,Serious Injury,Day,Intersection
26471625,E-Bike,Male,59.0,2025,Martin,Fatality,Night,Intersection
26697307,E-Scooter,Male,32.0,2024,Miami-Dade,Injury,Day,Intersection
26270400,E-Bike,Male,61.0,2024,Miami-Dade,Injury,Day,Segment
26556186,E-Bike,Male,63.0,2025,Hillsborough,Injury,Day,Intersection
26591587,E-Scooter,,,2024,Broward,Injury,Day,Segment
26363679,E-Bike,Male,20.0,2024,Orange,Injury,Day,Intersection
26854033,E-Scooter,Male,16.0,2024,Broward,Injury,Day,Segment
26329279,E-Scooter,Male,87.0,2024,Pinellas,Serious Injury,Day,Intersection
26590881,E-Scooter,,,2024,Broward,Injury,Day,Segment
26590881,E-Scooter,,,2024,Broward,Injury,Day,Segment
26728974,E-Scooter,Male,28.0,2025,Miami-Dade,No Injury,Day,Segment
26551471,E-Bike,Male,29.0,2025,Hillsborough,Injury,Day,Intersection
26821572,E-Bike,Male,34.0,2024,Polk,Injury,Day,Segment
26264861,E-Scooter,Male,18.0,2024,Miami-Dade,Injury,Day,Segment
26397271,Bicycle,Female,41.0,2024,Escambia,Injury,Day,Intersection
26695288,E-Bike,Male,6.0,2024,Miami-Dade,Serious Injury,Day,Segment
26211910,E-Bike,Male,41.0,2024,Pinellas,Injury,Day,Segment
26550519,Bicycle,Male,18.0,2025,Hillsborough,Injury,Day,Intersection
26735378,E-Scooter,Male,15.0,2025,Miami-Dade,Injury,Day,Intersection
26284103,E-Scooter,Female,12.0,2024,Pasco,Injury,Day,Segment
26794019,E-Bike,Female,44.0,2024,Lee,No Injury,Day,Intersection
26530763,E-Bike,Male,47.0,2024,Pasco,Injury,Day,Segment
26235699,E-Bike,Male,41.0,2024,Palm Beach,Injury,Day,Segment
26686165,E-Scooter,Male,13.0,2025,Orange,Injury,Day,Segment
26488124,E-Scooter,Male,32.0,2024,Orange,Injury,Day,Segment
26279718,E-Scooter,Male,5.0,2025,Volusia,No Injury,Day,Intersection
26500398,E-Bike,,,2023,Monroe,Injury,Day,Segment
26167925,E-Scooter,,,2024,Broward,Injury,Day,Segment
26202213,E-Scooter,Male,22.0,2024,Volusia,Injury,Day,Intersection
26202765,Bicycle,,,2024,Pinellas,Injury,Night,Segment
26828369,E-Bike,Male,63.0,2024,Duval,Serious Injury,Day,Intersection
26343073,Bicycle,Male,68.0,2024,Manatee,No Injury,Day,Intersection
26203762,E-Bike,,,2024,Pinellas,Injury,Day,Segment
26833444,E-Scooter,Male,16.0,2024,Duval,Injury,Day,Intersection
26869244,E-Bike,Male,21.0,2024,Hillsborough,No Injury,Day,Intersection
26247270,E-Bike,,,2024,Broward,Injury,Day,Segment
26213487,E-Bike,Female,18.0,2024,Clay,Injury,Day,Segment
26164801,E-Bike,Male,18.0,2023,Marion,Injury,Day,Segment
26288736,E-Scooter,Male,16.0,2024,Orange,Injury,Day,Intersection
26193653,E-Scooter,Male,18.0,2024,Palm Beach,Injury,Day,Segment
26778183,E-Scooter,,,2024,Broward,Injury,Day,Segment
26404735,E-Scooter,Male,11.0,2024,Manatee,Serious Injury,Day,Intersection
26559270,E-Bike,Male,14.0,2024,Pinellas,Injury,Day,Intersection
26858921,E-Bike,Male,33.0,2024,Pinellas,Injury,Day,Segment
26358551,E-Bike,Female,84.0,2024,Hernando,Injury,Day,Intersection
26244667,E-Scooter,,,2024,Alachua,No Injury,Night,Segment
26382736,E-Bike,Male,60.0,2024,Orange,Injury,Night,Segment
26154469,E-Scooter,Male,24.0,2024,Broward,Injury,Day,Intersection
26574600,E-Bike,,,2025,St. Lucie,Injury,Day,Segment
26203419,E-Bike,,,2024,Pinellas,No Injury,Night,Segment
26777181,E-Scooter,,,2024,Broward,No Injury,Day,Segment
26225610,E-Bike,Male,14.0,2025,Seminole,No Injury,Day,Intersection
26644751,E-Scooter,Female,23.0,2024,Escambia,Injury,Day,Segment
26699974,E-Scooter,Male,14.0,2024,Miami-Dade,Serious Injury,Day,Segment
26242905,E-Scooter,,,2024,Alachua,Injury,Day,Intersection
26579170,E-Scooter,,,2024,Palm Beach,Injury,Night,Intersection
26691316,E-Bike,Male,24.0,2024,Lee,Injury,Day,Intersection
26289893,Bicycle,Male,57.0,2024,Brevard,Serious Injury,Day,Segment
26674611,E-Bike,Male,47.0,2026,Pinellas,Injury,Day,Intersection
26554522,E-Bike,Female,9.0,2025,Hillsborough,Injury,Day,Segment
26814256,E-Scooter,Female,31.0,2025,Volusia,Injury,Day,Intersection
26806374,E-Bike,Male,41.0,2025,Leon,Injury,Day,Segment
26658311,E-Scooter,Male,12.0,2024,Miami-Dade,No Injury,Day,Segment
26201475,E-Bike,Male,45.0,2024,Volusia,Serious Injury,Day,Segment
26735526,E-Scooter,Male,15.0,2025,Miami-Dade,No Injury,Day,Intersection
26395215,Bicycle,Male,53.0,2024,Brevard,Injury,Day,Intersection
26676464,E-Scooter,Female,35.0,2024,Marion,Injury,Day,Intersection
26500760,E-Bike,,,2024,Monroe,Injury,Day,Segment
26503294,E-Bike,Male,15.0,2024,Sarasota,No Injury,Day,Segment
26289638,Bicycle,Male,71.0,2024,Sarasota,Injury,Day,Segment
26830901,Bicycle,Male,28.0,2024,Duval,Serious Injury,Night,Segment
26800121,E-Scooter,Male,18.0,2024,Leon,No Injury,Day,Segment
26545542,E-Bike,Female,42.0,2025,Hillsborough,No Injury,Day,Segment
26477238,E-Scooter,Male,30.0,2025,Orange,Injury,Day,Intersection
26123930,E-Scooter,Male,36.0,2024,Volusia,Injury,Day,Intersection
26254599,E-Scooter,Male,41.0,2023,Miami-Dade,Injury,Day,Segment
26560329,E-Bike,Male,41.0,2024,Pinellas,No Injury,Day,Intersection
26210297,E-Bike,Male,14.0,2024,Sarasota,No Injury,Day,Intersection
26190030,E-Scooter,Male,23.0,2025,Miami-Dade,Injury,Day,Intersection
26436214,E-Scooter,Male,16.0,2025,Orange,Injury,Day,Segment
26810792,E-Scooter,Male,13.0,2024,Flagler,Injury,Day,Segment
26404983,E-Bike,Male,35.0,2024,Orange,Injury,Day,Intersection
26788984,E-Bike,,,2025,Broward,No Injury,Day,Segment
26748369,E-Bike,Male,22.0,2024,Palm Beach,Injury,Day,Segment
26290309,E-Scooter,Female,18.0,2024,Orange,Injury,Day,Intersection
26290309,E-Scooter,Male,39.0,2024,Orange,Injury,Day,Intersection
26395405,E-Scooter,Male,41.0,2024,Pinellas,Injury,Day,Segment
26131331,E-Bike,Male,28.0,2024,Collier,Injury,Day,Intersection
26156424,E-Bike,Male,21.0,2024,Brevard,Serious Injury,Day,Segment
26205138,E-Bike,,,2025,Pinellas,Injury,Day,Intersection
26134044,E-Bike,Male,65.0,2024,Collier,No Injury,Day,Segment
26486095,E-Scooter,Male,23.0,2024,Volusia,Injury,Day,Intersection
26742614,E-Bike,Male,,2024,St. Johns,No Injury,Day,Segment
26579311,E-Bike,,,2024,Palm Beach,Injury,Day,Segment
26544324,E-Bike,Male,41.0,2024,Hillsborough,Injury,Night,Segment
26530782,E-Bike,Male,61.0,2024,Pasco,Injury,Day,Segment
26530782,E-Bike,Female,44.0,2024,Pasco,Injury,Day,Segment
26829560,E-Scooter,Male,32.0,2024,Duval,Injury,Night,Segment
26598339,E-Scooter,,,2025,Palm Beach,Serious Injury,Day,Intersection
26778905,E-Scooter,,,2024,Broward,No Injury,Day,Segment
26398791,E-Scooter,Male,45.0,2024,Pasco,Injury,Day,Intersection
26495118,E-Bike,Male,32.0,2024,Orange,Injury,Day,Segment
26181508,E-Scooter,Male,21.0,2024,Hillsborough,Serious Injury,Night,Intersection
26129656,E-Scooter,Male,27.0,2024,Collier,Injury,Night,Intersection
26866954,E-Scooter,Female,35.0,2025,Pinellas,Injury,Day,Segment
26644495,E-Scooter,Male,13.0,2024,Escambia,Injury,Day,Intersection
26782067,E-Scooter,,,2025,Broward,No Injury,Day,Segment
26553995,E-Bike,Female,22.0,2025,Hillsborough,Injury,Day,Intersection
26779630,E-Scooter,,,2024,Broward,Injury,Day,Segment
26250521,E-Scooter,Male,37.0,2024,St. Johns,Serious Injury,Night,Segment
26487194,E-Scooter,Female,23.0,2024,Orange,Injury,Day,Segment
26679551,E-Scooter,Male,24.0,2025,Broward,Fatality,Night,Intersection
26477151,Bicycle,Female,51.0,2024,Pinellas,Fatality,Day,Segment
26825175,E-Bike,Male,65.0,2025,Polk,Injury,Day,Segment
26556665,E-Bike,Male,51.0,2025,Hillsborough,Injury,Day,Segment
26197350,E-Bike,Male,54.0,2024,Brevard,Serious Injury,Night,Segment
26791613,E-Scooter,,,2025,Broward,Serious Injury,Night,Segment
26741469,E-Scooter,Male,63.0,2025,Miami-Dade,Injury,Day,Intersection
26199884,E-Bike,Male,68.0,2025,Duval,Injury,Day,Segment
26594912,E-Bike,,,2024,Palm Beach,Injury,Day,Segment
26214959,E-Scooter,Male,34.0,2024,Clay,No Injury,Night,Intersection
26244177,E-Scooter,,,2024,Alachua,Injury,Night,Intersection
26641846,E-Bike,Male,19.0,2025,Orange,No Injury,Day,Intersection
26554945,E-Bike,Male,61.0,2025,Hillsborough,Injury,Night,Intersection
26738196,E-Scooter,Male,28.0,2025,Miami-Dade,Injury,Day,Segment
26746488,E-Scooter,Male,53.0,2024,Palm Beach,Injury,Day,Segment
26788123,E-Bike,,,2025,Broward,Injury,Night,Segment
26194944,E-Scooter,Male,14.0,2024,Palm Beach,Injury,Day,Intersection
26257695,E-Bike,Male,8.0,2024,Miami-Dade,No Injury,Day,Intersection
26186318,E-Bike,Male,71.0,2024,Lee,Injury,Day,Segment
26205502,E-Bike,,,2025,Pinellas,Injury,Day,Segment
26363930,E-Scooter,Male,19.0,2024,Orange,Injury,Day,Intersection
26752141,E-Scooter,Male,23.0,2024,Palm Beach,Injury,Day,Intersection
26368007,E-Bike,Female,25.0,2024,Bay,Injury,Night,Segment
26465932,E-Bike,Male,63.0,2025,Pasco,Injury,Night,Intersection
26168080,E-Scooter,,,2024,Broward,Injury,Day,Intersection
26135692,E-Bike,,,2023,Okaloosa,Injury,Day,Segment
26327883,E-Scooter,Male,,2024,Alachua,Injury,Day,Intersection
26366204,Bicycle,Male,28.0,2024,Orange,Injury,Day,Intersection
26680276,E-Scooter,Female,27.0,2025,Alachua,Injury,Day,Intersection
26583397,E-Bike,Male,17.0,2024,Lee,Serious Injury,Day,Intersection
26549909,E-Bike,Female,18.0,2026,Hillsborough,Injury,Day,Segment
26202743,Bicycle,,,2024,Pinellas,Injury,Day,Segment
26814350,E-Scooter,Male,15.0,2026,Volusia,Injury,Day,Segment
26520631,E-Scooter,Male,35.0,2024,Miami-Dade,Serious Injury,Day,Segment
26586164,E-Bike,Male,33.0,2024,Lee,Injury,Day,Intersection
26679176,E-Bike,Female,40.0,2024,Broward,Injury,Day,Segment
26534991,E-Scooter,Male,,2024,Broward,Injury,Day,Segment
26382383,E-Scooter,Male,30.0,2024,Duval,No Injury,Day,Segment
26829967,E-Scooter,Male,17.0,2024,Duval,No Injury,Night,Intersection
26166974,E-Bike,,,2024,Broward,Injury,Day,Segment
26348932,E-Bike,Male,18.0,2024,Pasco,No Injury,Day,Segment
26618458,E-Bike,Female,26.0,2024,Hillsborough,Injury,Day,Segment
26501368,E-Bike,,,2024,Monroe,Injury,Day,Intersection
26244652,E-Scooter,,,2024,Alachua,Injury,Day,Intersection
26262185,E-Scooter,Female,37.0,2024,Miami-Dade,Injury,Day,Segment
26238816,E-Scooter,Male,8.0,2024,Palm Beach,Injury,Day,Segment
26385159,Bicycle,Male,14.0,2024,Pinellas,Injury,Day,Intersection
26121177,E-Scooter,Male,62.0,2023,Volusia,Injury,Day,Segment
26211204,E-Scooter,Male,80.0,2024,Pinellas,No Injury,Day,Segment
26794470,E-Scooter,Male,22.0,2024,Lee,Injury,Day,Intersection
26289395,Bicycle,Male,4.0,2024,Walton,Fatality,Day,Intersection
26544624,E-Scooter,Male,24.0,2024,Hillsborough,Injury,Day,Segment
26282160,E-Scooter,Male,18.0,2024,Manatee,Injury,Night,Segment
26378359,Bicycle,Female,38.0,2024,Marion,No Injury,Day,Segment
26311767,Bicycle,Male,36.0,2024,Marion,Injury,Day,Segment
26854458,E-Scooter,Male,18.0,2025,Broward,Injury,Day,Intersection
26171430,E-Scooter,Male,15.0,2024,Indian River,Injury,Night,Segment
26227284,E-Scooter,,,2024,Miami-Dade,Injury,Day,Segment
26451857,E-Scooter,Female,32.0,2024,Miami-Dade,Injury,Day,Segment
26143326,E-Bike,Male,18.0,2024,Broward,Injury,Night,Segment
26143326,E-Bike,Female,18.0,2024,Broward,Injury,Night,Segment
26158537,E-Bike,Male,59.0,2023,Brevard,Injury,Day,Intersection
26502752,E-Bike,Male,41.0,2024,Sarasota,Injury,Day,Segment
26553379,E-Bike,Male,28.0,2025,Hillsborough,Injury,Day,Segment
26466145,E-Scooter,Male,19.0,2024,Orange,Injury,Day,Intersection
26175240,E-Bike,Male,63.0,2024,Lake,Injury,Night,Segment
26212578,E-Bike,Male,41.0,2024,Pinellas,Injury,Day,Segment
26425878,Bicycle,Male,40.0,2024,Pasco,Serious Injury,Day,Segment
26467601,Bicycle,Male,16.0,2024,Manatee,Injury,Day,Intersection
26748251,E-Scooter,Male,38.0,2024,Palm Beach,No Injury,Night,Intersection
26704394,E-Bike,Male,14.0,2024,Miami-Dade,Injury,Day,Intersection
26211672,E-Bike,Male,38.0,2024,Pinellas,No Injury,Day,Segment
26289395,Bicycle,Male,40.0,2024,Walton,Fatality,Day,Intersection
26237309,E-Bike,Male,38.0,2024,Palm Beach,Injury,Day,Segment
26556876,E-Scooter,Female,14.0,2025,Hillsborough,Serious Injury,Day,Segment
26556876,E-Scooter,Female,15.0,2025,Hillsborough,Serious Injury,Day,Segment
26545542,E-Bike,Female,11.0,2025,Hillsborough,No Injury,Day,Segment
26779080,E-Scooter,,,2024,Broward,Injury,Night,Segment
26170514,E-Bike,Female,33.0,2024,Monroe,Serious Injury,Day,Segment
26674355,E-Bike,Male,27.0,2026,Seminole,Injury,Day,Segment
26540429,E-Scooter,Male,14.0,2024,Hillsborough,Serious Injury,Day,Segment
26560290,E-Scooter,Male,,2024,Pinellas,No Injury,Day,Intersection
26502358,E-Bike,,,2025,Monroe,Injury,Night,Intersection
26852025,E-Scooter,Male,35.0,2024,Broward,Injury,Day,Segment
26256729,E-Scooter,Male,9.0,2024,Miami-Dade,Injury,Day,Segment
26195637,E-Scooter,Female,18.0,2025,Palm Beach,Injury,Day,Segment
26844772,E-Bike,Male,67.0,2025,Duval,Injury,Day,Segment
26536927,E-Scooter,Female,41.0,2025,Hillsborough,Injury,Day,Intersection
26779110,E-Scooter,,,2024,Broward,Injury,Day,Segment
26695058,E-Scooter,Male,35.0,2024,Miami-Dade,Injury,Day,Intersection
26687902,E-Bike,Male,63.0,2024,Citrus,Injury,Day,Intersection
26501907,E-Bike,,,2024,Monroe,Serious Injury,Day,Segment
26263015,E-Scooter,Male,38.0,2024,Miami-Dade,Injury,Night,Segment
